"Be your best, be passionate, build your life and then share your joy with the world",
"Being nice makes you look weak, boring, bankrupted and unsexy",The school of life
I must always be a beginner at something to stay humble and keep my ability to learn,Clément Roblot
How many people will be at my funeral ?,Gary Vaynerchuk
"I want to work with companies providing value to customers, no BS startup living off of investors money for years",Clément Roblot
Define what success means to you. And then make sure people know it.,Oussama Ammar
Life is too short to be small,
What would you do if you couldn't fail (10x smarter than the world),Tim Ferriss
What would you do today if you had 100M€ in the bank,Tim Ferriss
"The only irreplaceable thing is time, not people, not money",
What do I want my legacy to be?,Gary Vaynerchuk
"Easy choices; hard life; hard choices, easy life.",Jerzy Gregorek
What we most fear doing/asking is the one we need to do the most,Tim Ferriss
Acquire career capital then ask to move toward something more motivating,So good they can't ignore you
Action express priorities,Mahatma Gandhi 
"I don't care how big I get, I'm never going fancy on you",Gary Vaynerchuk
Where was I precisely a year ago,Clément Roblot
Compass over map,TED
Always have a gorilla in the front seat,TED
Always have deadlines,
Put all your eggs in one basket and watch the basket very carefully,Warren Buffett
What can I do to provide more value to my entourage and my followers?,
"Building an entreprenor carrier is building an entreprenor resume, that mean the goal is to be glorious, not to succeed",Oussama Ammar
You don't talk to your user to validate product ideas you talk to your users to have product ideas,Oussama Ammar
Being a good business man is being a good intermediary,Lord of war
The things you own ends up owning you,Tyler Durden
Try to think about fewer things,
What is the most important thing that you can work on now in the entire world,Aaron Swartz
"First they ignore you, then they laugh at you, then they fight you, then you win.",Mahatma Gandhi 
"Don't listen to advice, make sure you are doing something useful",
If your mouth is open you are not learning,Buddha
What are you waiting for?,
"Amateurs borrow, professionals steals.",
"Be patient at a macro scale, be fast at a micro scale.",Gary Vaynerchuk
Be happy : it makes people crazy.,TED
"Social acceptance = growth (The fact we tolerate bad children is not cause they are small, it is because they are growing)",Oussama Ammar
A week is 7 days (of potential work),Clément Roblot
"Ho! I get it! Everything is possible, you just take a chisel and a hammer.",Where to invade next
If I am worried about security it means I got a problem in my life. Insecurity is inside of your head not in your environment,Clément Roblot
"If you only do what you can do, you will never be more than what you are now",
"Plans lead to procrastination. You don't know what you are doing, and so you don't know how long it will take. Uber launch a new city in 3 days. Nobody would plan that!",Oussama Ammar
After 2/3 meetings on an issue : simply decide with heads or tail and stop wasting time,
"Bad thighs don't append to us, they append for us.",
